1;Goldy;2020-8-24 1:45:57;1;0;1;1;szuka;5;29;3;kutya;Drótszőrű magyar vizsla;allatkepek/298.jpg;Anim duis ullamco veniam dolor fugiat. Laborum nisi esse adipiscing nulla commodo reprehenderit mollit sint sit.;Culpa in et dolore. Sunt non labore consequat voluptate excepteur incididunt. Anim sit aute aliquip est cillum nisi dolore irure duis.;e0I3Xr@PG0ZY60m.com;+36504886741;0;4
2;Nina;2023-7-27 3:41:11;0;0;0;0;szuka;12;46;2;kutya;Jämthund;allatkepek/204.jpg;Culpa ea ipsum laborum qui quis proident in labore qui. Aliquip elit eiusmod esse, proident incididunt commodo magna exercitation nisi aliquip minim laboris consectetur, dolore exercitation aute tempor voluptate ut non ad.;Dolor sunt cillum quis aliqua anim laboris in ad occaecat. Cupidatat nulla non cillum ut veniam. Sit id exercitation elit ex mollit eu fugiat, do qui consectetur veniam dolore proident.;7zsx5380q@8twIC5Bw.com;+36307852359;0;3
3;Pötyi;2021-6-12 7:33:13;0;0;1;0;szuka;9;31;3;kutya;Shar pei;allatkepek/216.jpg;Velit culpa occaecat reprehenderit ea. Commodo ut dolore exercitation deserunt aliqua magna sint.;Occaecat aliqua velit mollit cupidatat. Proident exercitation et commodo quis, amet ex dolor elit fugiat eu excepteur mollit culpa eiusmod. Ullamco ad ullamco pariatur.;oE4O@4ycUfGrRYe.com;+36506832696;0;4
4;Szeti;2021-2-12 16:42:59;0;0;0;0;szuka;17;11;4;kutya;Szálkásszőrű német vizsla, Kromfohrlandi keverék;allatkepek/230.jpg;Officia magna sint ea nostrud cillum, esse quis nostrud minim ipsum enim amet cillum do. Aliqua fugiat culpa fugiat proident ut adipiscing nisi laborum.;Nostrud nostrud sed laborum in veniam culpa. Laboris proident irure dolor. Et qui aute sed enim, ut proident aliquip nisi minim pariatur fugiat deserunt tempor eu.;DVzxqfw6@XXA.com;+36407973963;0;4
5;Teo;2022-10-2 8:59:5;0;0;0;1;kan;5;48;2;kutya;Drótszőrű portugál kopó, Olasz agár keverék;allatkepek/227.jpg;Ut incididunt proident ullamco amet eiusmod aute. In dolore fugiat ad voluptate voluptate sed, excepteur deserunt ea laboris consectetur lorem dolore minim minim aliqua.;Sit cillum ut irure. Tempor minim voluptate dolore qui nulla esse anim et. Laborum dolor eiusmod nostrud occaecat et.;KQTv5IyT@xsjtlbrhc2.com;+36507233429;0;3
6;Maya;2022-3-27 1:57:24;0;0;1;0;kan;3;5;3;macska;korat;allatkepek/92.jpg;Nulla in anim incididunt duis eu, ea do deserunt elit reprehenderit proident, voluptate amet incididunt ipsum anim laborum eiusmod officia. Cupidatat nisi do nostrud sint enim ut.;Sint ea incididunt anim sed ipsum eiusmod et eiusmod. Lorem tempor culpa fugiat et, irure ipsum id dolore enim laboris ullamco. Eu amet cillum voluptate aliqua ea lorem.;3aIJv@uD9.com;+36603311401;0;2
7;Rea;2022-5-9 20:23:26;1;0;1;0;kan;17;25;2;kutya;Lapp pásztorkutya, Poitevin keverék;allatkepek/318.jpg;Ea nulla reprehenderit nisi qui excepteur cillum eiusmod nulla incididunt. Quis enim voluptate veniam elit, et eiusmod consequat dolor aliquip consequat laborum.;Culpa anim nisi adipiscing, irure aliquip excepteur cillum lorem, dolore laboris occaecat irure ad consequat non consectetur est nisi. Labore aliqua occaecat eu deserunt voluptate. Nostrud id dolor aute fugiat ipsum reprehenderit minim est ex, ut id lorem incididunt culpa mollit id cupidatat cillum sit.;jWz7GWt@WiOV.com;+36404230869;0;2
8;Kaarjack;2020-12-12 10:27:14;0;0;1;0;szuka;18;50;2;macska;fekete;allatkepek/7.jpg;Sunt quis occaecat eiusmod sint lorem tempor adipiscing, minim ex fugiat dolore incididunt ea. Eu officia laborum nulla ullamco nostrud deserunt mollit.;Elit sed sed lorem incididunt reprehenderit. Ullamco cupidatat irure est fugiat esse consectetur sed qui. Enim velit quis et aute irure pariatur tempor quis.;iPf9TID@7dYst7.com;+36409154165;0;2
9;Karesz;2021-1-11 3:57:40;1;0;0;0;szuka;5;12;2;kutya;Pont-Audemer-i spániel, Kaukázusi juhászkutya keverék;allatkepek/221.jpg;Minim ea ex proident proident sit cillum officia ad excepteur, consequat veniam dolore aliquip ipsum. In aliqua fugiat labore occaecat est, incididunt culpa et tempor irure aute ex dolor.;Nisi et minim laboris. Ad commodo elit exercitation. Commodo ipsum qui culpa.;yLMQ@fnHsycA.com;+3640908953;0;8
10;Pedró;2021-11-5 23:28:17;1;0;1;1;szuka;9;11;1;kutya;Coton de tuléar, Eszkimó kutya keverék;allatkepek/324.jpg;Est voluptate id ullamco occaecat velit et ad nostrud pariatur. Aliquip non anim irure ex, aliqua ex consectetur sunt magna id laborum voluptate.;Cillum magna velit irure reprehenderit sit proident. In tempor adipiscing nulla qui pariatur mollit nisi proident. Aliquip aliqua ullamco ex.;57E@1arRp4TG.com;+36502427075;0;8
11;Narancs;2021-11-25 0:28:59;1;0;1;0;kan;15;17;4;macska;foltos vörös cirmos;allatkepek/24.jpg;Commodo amet culpa sint anim. Incididunt eiusmod quis aliquip consequat magna sed.;Veniam ullamco magna commodo dolore ex, consectetur veniam id fugiat, aliqua nostrud qui magna duis lorem amet veniam tempor sint. Voluptate ipsum cupidatat est nostrud, fugiat cupidatat proident mollit occaecat do eiusmod. Aliqua labore non sunt excepteur eu ea id.;YRiqPgy@V8uy.com;+36401765033;0;1
12;Zsömi;2023-10-8 22:36:39;0;0;0;0;szuka;4;40;4;macska;teknőctarka;allatkepek/81.jpg;Ex ad eiusmod dolor nostrud voluptate dolor et ex. Duis anim laborum aute sed magna, occaecat eiusmod in tempor qui.;Mollit ullamco velit quis veniam ullamco duis. Eiusmod esse pariatur aute fugiat minim est, occaecat ad proident cillum est ad excepteur irure. Fugiat sunt occaecat in dolore eiusmod sit velit ut quis, cupidatat mollit cillum amet officia enim quis lorem, labore ipsum incididunt anim ex sint nulla deserunt consectetur reprehenderit.;cORNrR@qJEbHmHDdO.com;+36601129787;0;1
13;Jupiter;2022-6-23 14:47:17;1;0;1;0;szuka;14;10;1;macska;balinéz;allatkepek/98.jpg;Velit in nostrud cillum anim duis. Pariatur nisi nulla aliquip do est officia.;Ex consequat nulla in. Anim sint eu in veniam minim cupidatat incididunt magna enim. Excepteur consectetur non nulla id amet nostrud ea culpa, nisi ut quis tempor fugiat fugiat duis lorem.;TId@uPfuU8.com;+36304962801;0;3
14;Szeti;2020-8-28 6:50:21;1;0;1;1;szuka;14;27;1;kutya;Burgosi vizsla;allatkepek/301.jpg;Sint consectetur adipiscing deserunt aute lorem anim minim, minim proident non sed id dolore nisi eiusmod. Duis et officia laboris laborum enim.;Velit sunt cupidatat velit aliquip dolore minim do amet deserunt. Nostrud culpa aute qui irure anim pariatur duis cupidatat ea, lorem elit id cupidatat non laboris. Minim eiusmod irure et velit aliqua pariatur deserunt.;NfefsSKiu@ENgIClcYJ.com;+3640694383;0;7
15;Stella;2020-8-2 15:4:1;0;0;0;1;szuka;16;40;1;kutya;Fekete-cser mosómedvekopó;allatkepek/163.jpg;Mollit in elit aliqua laboris labore nostrud excepteur. Deserunt officia sint ut anim officia magna sunt minim deserunt, id dolore dolore ex dolor lorem adipiscing minim aliquip est.;Sunt tempor magna amet aliquip sint cupidatat. Voluptate excepteur adipiscing mollit exercitation pariatur laborum, qui aliqua dolore id velit esse dolor lorem dolor, eiusmod ipsum nisi ut duis minim commodo sed et. Officia proident sint aliquip excepteur ex.;kDP2KyS9a@82xPHh0d.com;+3660926147;0;1
16;Parádé;2023-3-21 3:7:16;1;0;1;1;kan;10;5;2;macska;ezüst cirmos perzsa;allatkepek/124.jpg;Amet sed nostrud fugiat fugiat est officia tempor pariatur, non et nulla anim officia id eu reprehenderit pariatur sit, sunt enim do esse. Occaecat aliquip elit dolore quis dolor lorem reprehenderit sed, elit sint dolore irure nulla.;Incididunt minim irure velit consequat pariatur esse laborum veniam fugiat. In ipsum eiusmod dolore aliquip in ex esse velit enim. Dolore do incididunt ut amet consectetur laborum sint, labore anim adipiscing labore minim magna officia eiusmod.;kkdQ@9dQmoJ1N.com;+36403226945;0;4
17;Mazsola;2021-11-14 7:30:28;1;0;1;0;szuka;12;4;4;macska;orosz kék;allatkepek/96.jpg;Deserunt duis minim fugiat. Non in irure dolor pariatur esse sunt labore.;Reprehenderit elit culpa incididunt, laboris consequat pariatur irure nostrud nisi qui. Id ex officia duis ut amet reprehenderit, tempor occaecat minim adipiscing et, non non aliquip laborum eiusmod veniam. Ipsum fugiat ad nostrud in ea culpa, eu sint aute ullamco lorem magna.;JNK0E@oypyEbkIF1.com;+36505452816;0;4
